    3.0000
   53    10          1          2          3          4          5          6          7          8          9         10 
51.0000	3.2112	3.2169	3.3934	4.8517	5.7410	7.3382	8.0239	8.0287	8.0293	8.0293
52.0000	3.1858	3.1952	3.4574	4.4126	5.2898	6.6820	7.8069	7.8163	7.8166	7.8162
53.0000	3.1831	3.1957	3.5270	4.4714	5.2246	6.5045	7.6477	7.6529	7.6511	7.6497
1.0000	10.3286	10.3286	10.3286	10.3286	10.3286	10.3283	10.3175	10.2829	10.2870	10.2874
2.0000	8.3760	8.3752	8.3744	8.3695	8.3608	8.3511	8.3483	8.3182	8.3049	8.3098
3.0000	8.2799	8.2790	8.2781	8.2729	8.2589	8.2531	8.2502	8.2219	8.2094	8.2140
4.0000	8.4680	8.4672	8.4646	8.4519	8.4441	8.4394	8.4294	8.4261	8.4265	8.4265
5.0000	9.0669	9.0682	9.0907	9.1325	9.1352	9.1360	9.1361	9.1361	9.1361	9.1361
6.0000	9.1185	9.1196	9.1474	9.2058	9.2787	9.3015	9.3013	9.2960	9.2960	9.2960
7.0000	9.2147	9.2165	9.2337	9.3052	9.4215	9.5219	9.5887	9.5931	9.5807	9.5803
8.0000	9.2915	9.2939	9.2992	9.3602	9.5087	9.7832	9.8962	9.9452	9.9767	9.9770
9.0000	9.0376	9.0398	9.0470	9.1199	9.3061	9.5828	9.9028	10.2832	10.6529	10.6696
10.0000	8.8011	8.8028	8.8117	8.8920	9.1073	9.4664	9.9601	10.6906	11.4089	11.4335
11.0000	8.6386	8.6406	8.6536	8.7460	8.9802	9.3686	9.9201	10.7785	11.8141	11.8309
12.0000	8.5107	8.5139	8.5363	8.6490	8.8897	9.2641	9.8086	11.1511	12.0501	12.0871
13.0000	8.4001	8.4053	8.5930	9.0838	9.9424	11.3490	12.4702	12.4798	12.4798	12.4798
14.0000	8.3065	8.3644	9.0180	10.3629	12.9091	12.9562	12.9562	12.9562	12.9562	12.9562
15.0000	8.1855	8.2693	9.1404	11.3021	13.1800	13.2290	13.2290	13.2290	13.2290	13.2290
16.0000	8.1121	8.2707	9.1226	10.6342	12.4527	13.3393	13.3418	13.3418	13.3418	13.3418
17.0000	8.0912	10.7067	13.5057	13.5057	13.5057	13.5057	13.5057	13.5057	13.5057	13.5057
18.0000	8.1021	13.7027	13.7062	13.7062	13.7062	13.7062	13.7062	13.7062	13.7062	13.7062
19.0000	8.1333	13.0622	13.7177	13.7177	13.7177	13.7177	13.7177	13.7177	13.7177	13.7177
20.0000	8.1790	11.5231	13.6811	13.6811	13.6811	13.6811	13.6811	13.6811	13.6811	13.6811
21.0000	8.3385	10.3466	13.6179	13.6179	13.6179	13.6179	13.6179	13.6179	13.6179	13.6179
22.0000	8.5455	10.4075	13.5310	13.5310	13.5310	13.5310	13.5310	13.5310	13.5310	13.5310
23.0000	8.6591	10.0723	13.2931	13.2894	13.2894	13.2894	13.2894	13.2894	13.2894	13.2894
24.0000	8.7638	9.8032	12.4661	13.1054	13.1054	13.1054	13.1054	13.1054	13.1054	13.1054
25.0000	8.9316	9.5662	11.2455	12.7914	12.7914	12.7914	12.7914	12.7914	12.7914	12.7914
26.0000	9.2127	9.6433	11.0866	12.6041	12.6041	12.6041	12.6041	12.6041	12.6041	12.6041
27.0000	9.4109	9.7164	10.5888	12.4108	12.4108	12.4108	12.4108	12.4108	12.4108	12.4108
28.0000	9.6320	9.8512	10.6089	12.3410	12.3410	12.3410	12.3410	12.3410	12.3410	12.3410
29.0000	9.9075	9.9854	10.5326	12.2393	12.2393	12.2393	12.2393	12.2393	12.2393	12.2393
30.0000	10.0569	10.1365	10.5826	12.0118	12.0287	12.0287	12.0287	12.0287	12.0287	12.0287
31.0000	10.2023	10.2800	10.6212	11.4491	11.7910	11.7910	11.7910	11.7910	11.7910	11.7910
32.0000	10.1895	10.2203	10.5321	11.2495	11.5273	11.5273	11.5273	11.5273	11.5273	11.5273
33.0000	10.1335	10.1462	10.3182	10.8374	11.2616	11.2616	11.2616	11.2616	11.2616	11.2616
34.0000	10.1908	10.1937	10.2552	10.4655	10.8584	10.8634	10.8634	10.8634	10.8634	10.8634
35.0000	10.2731	10.2729	10.2748	10.2857	10.3153	10.3736	10.4253	10.4257	10.4257	10.4257
36.0000	10.0643	10.0642	10.0639	10.0628	10.0570	10.0433	10.0231	10.0188	10.0190	10.0190
37.0000	9.7778	9.7778	9.7777	9.7772	9.7757	9.7729	9.7654	9.7572	9.7573	9.7575
38.0000	6.9211	6.9294	7.1482	7.6998	8.4559	9.2300	10.4781	11.3115	11.7578	11.7595
