384760.000000	 4292333.000000	  38.772197
384371.225000	 4291989.960000	  38.769055
383762.511000	 4291981.310000	  38.768897
383157.779000	 4291998.190000	  38.768969
382590.045000	 4292113.910000	  38.769937
382209.000000	 4291937.000000	  38.768292
381763.648000	 4291944.540000	  38.768300
381312.558000	 4291849.040000	  38.767379
380883.000000	 4291790.000000	  38.766790
380435.940000	 4291930.770000	  38.767997
380044.000000	 4291790.000000	  38.766676
379550.441000	 4291792.040000	  38.766627
379079.127000	 4291936.980000	  38.767868
378572.500000	 4292059.700000	  38.768904
378027.439000	 4292146.640000	  38.769612
377443.052000	 4292194.690000	  38.769964
376829.349000	 4292204.270000	  38.769965
376243.045000	 4292093.750000	  38.768887
375786.000000	 4291893.000000	  38.767015
375169.646000	 4291949.480000	  38.767437
374652.000000	 4291820.000000	  38.766197
374118.307000	 4291970.540000	  38.767477
373583.549000	 4292087.110000	  38.768451
373253.000000	 4291937.000000	  38.767051
372664.000000	 4291908.000000	  38.766705
372098.266000	 4291820.090000	  38.765831
371538.210000	 4292010.980000	  38.767469
371132.000000	 4291820.000000	  38.765690
370571.014000	 4291805.010000	  38.765472
369989.034000	 4291943.200000	  38.766632
369409.949000	 4291992.020000	  38.766986
368827.099000	 4292056.590000	  38.767481
368245.223000	 4292138.150000	  38.768129
367664.541000	 4292229.110000	  38.768862
367087.123000	 4292423.970000	  38.770530
366606.943000	 4292763.350000	  38.773515
366145.000000	 4293195.000000	  38.777334
384050.782000	 4292648.620000	  38.774947
384665.414000	 4292679.960000	  38.775310
383438.375000	 4292640.530000	  38.774794
382842.413000	 4292670.380000	  38.774984
382248.780000	 4292723.230000	  38.775381
382014.775000	 4292279.160000	  38.771349
381443.112000	 4292286.500000	  38.771338
380924.513000	 4292147.480000	  38.770016
380499.571000	 4292423.040000	  38.772441
379998.111000	 4292144.450000	  38.769863
379523.145000	 4292342.310000	  38.771581
379009.983000	 4292520.570000	  38.773117
378454.890000	 4292649.870000	  38.774205
377845.947000	 4292715.450000	  38.774712
377171.894000	 4292734.280000	  38.774788
376412.747000	 4292730.940000	  38.774652
375726.622000	 4292388.120000	  38.771467
375135.489000	 4292666.860000	  38.773894
374618.779000	 4292315.000000	  38.770651
374037.488000	 4292542.530000	  38.772618
373461.612000	 4292694.600000	  38.773906
373040.916000	 4292194.240000	  38.769338
372494.668000	 4292323.580000	  38.770424
371941.056000	 4292478.070000	  38.771736
371374.455000	 4292644.940000	  38.773157
370972.092000	 4292206.320000	  38.769146
370383.663000	 4292372.750000	  38.770559
369782.890000	 4292491.610000	  38.771542
369190.667000	 4292584.160000	  38.772288
368609.310000	 4292679.120000	  38.773057
368050.874000	 4292749.780000	  38.773610
367534.240000	 4292777.570000	  38.773783
367135.504000	 4293115.990000	  38.776772
366640.205000	 4293509.310000	  38.780240
384354.030000	 4293312.730000	  38.780970
383713.203000	 4293285.560000	  38.780641
385012.964000	 4293342.020000	  38.781320
383086.421000	 4293272.550000	  38.780441
382465.755000	 4293262.330000	  38.780266
381838.349000	 4293223.620000	  38.779834
381640.138000	 4292728.530000	  38.775347
381047.697000	 4292624.500000	  38.774330
380594.929000	 4292936.110000	  38.777076
380029.824000	 4292675.610000	  38.774653
379514.992000	 4292911.430000	  38.776707
378955.914000	 4293128.280000	  38.778584
378345.938000	 4293238.400000	  38.779492
377665.539000	 4293250.180000	  38.779504
376971.493000	 4293254.320000	  38.779445
376319.926000	 4293344.450000	  38.780166
375715.644000	 4293000.980000	  38.776986
375048.431000	 4293360.030000	  38.780127
374527.112000	 4292947.400000	  38.776335
373906.966000	 4293153.510000	  38.778104
373321.051000	 4293327.690000	  38.779589
372900.424000	 4292832.540000	  38.775068
372342.648000	 4292972.820000	  38.776251
371776.798000	 4293115.430000	  38.777454
371195.818000	 4293255.640000	  38.778632
370788.594000	 4292804.100000	  38.774505
370185.808000	 4292944.800000	  38.775684
369578.078000	 4293071.000000	  38.776731
368973.204000	 4293195.140000	  38.777760
368369.320000	 4293312.940000	  38.778731
367771.429000	 4293321.470000	  38.778718
367361.422000	 4293727.920000	  38.782318
366907.848000	 4294082.060000	  38.785440
384672.653000	 4293961.490000	  38.786857
383996.705000	 4293925.980000	  38.786448
383337.682000	 4293891.570000	  38.786051
385360.514000	 4294004.080000	  38.787330
382688.192000	 4293846.730000	  38.785561
382039.705000	 4293771.250000	  38.784794
381382.972000	 4293646.990000	  38.783587
381206.378000	 4293120.200000	  38.778817
380725.935000	 4293464.120000	  38.781851
380090.832000	 4293221.960000	  38.779583
379535.461000	 4293498.120000	  38.781995
