50 
   1	  5000.0  0.002
   2	  5000.0  0.002   
   3	  5000.0  0.002
   4	  5000.0  0.002
   5	  5000.0  0.002
   6	  5000.0  0.002
   7	  5000.0  0.002
   8	  5000.0  0.002
   9	  5000.0  0.002
  10	  5000.0  0.002
  11	  5000.0  0.002
  12	  5000.0  0.002
  13	  5000.0  0.002
  14	  5000.0  0.002
  15	  5000.0  0.002
  16	  5000.0  0.002
  17	  5000.0  0.002
  18	  5000.0  0.002
  19	  5000.0  0.002
  20	  5000.0  0.002
  21	  5000.0  0.002
  22	  5000.0  0.002
  23	  5000.0  0.002
  24	  5000.0  0.002
  25	  5000.0  0.002
  26	  5000.0  0.002
  27	  5000.0  0.002
  28	  5000.0  0.002
  29	  5000.0  0.002
  30	  5000.0  0.002
  31	  5000.0  0.002
  32	  5000.0  0.002
  33	  5000.0  0.002
  34	  5000.0  0.002
  35	  5000.0  0.002
  36	  5000.0  0.002
3047	  5000.0  0.002
2978	  5000.0  0.002
2901	  5000.0  0.002
2902	  5000.0  0.002
2903	  5000.0  0.002
2904	  5000.0  0.002
2905	  5000.0  0.002
2906	  5000.0  0.002
2907	  5000.0  0.002
2979	  5000.0  0.002
3048	  5000.0  0.002
3049	  5000.0  0.002
3050	  5000.0  0.002
2982	  5000.0  0.002
