B Clark update to WQM with new photodegradation formulas,now have a*cdom for each of our 3 class
This FIle uses the specific absorption for chla TSS and TSS backscattering from Rose, Neale, Tzortziou et al., (2017) that was measured in the Rhode River.  The coefficients below are obsolete and have been commented out in the code
This file (V8_1) takes the average spectral CDOM absorption using normal methods from the NASA CLIVEC (CDOM1) and NASA GEOCAPE (CDOM2) projects to give  a more robust estimate of our end members     In addition, 5 summer months of DOC data from ISCO samplers at the marsh creekw as used to parameterize CDOC3 with an average SR of 0.93     see Clark et al., (2019) for photochemistry details 
	   INTKE  INITKE REFLECT
             0.5     1.0    100.
              ! THe below coeffiences are obsolete with this version.  Absorption spectra are multiplied directly by the concentration 
           G*440 PHI*676  BN*NTU  BN*CHL   P*INT   P*440 P*COLOR   SCDOM !all of these have an impact on light extinction, these are the coefficients (Ag terms)
          0.0685  0.0165   1.146   0.111 0.07817 0.83637 0.31931 0.01645  ! 

             LAT    LONG  NWAVEL  TCH2CH DOFFSET DEPTHKE
            38.8  -176.5     417     1.2   335.0     1.0

lamb, aw(l), g1(l), g2(l)  g3(l)  ø(l),    p(l),   bn(l),   E0_dist
    335      0.0239      1.6070      2.4222      5.6132      0.0230     0.1238      0.0477      0.000263
    336      0.0237      1.5736      2.3778      5.5283      0.0229     0.1229      0.0474      0.000271
    337      0.0234      1.5431      2.3350      5.4443      0.0229     0.1221      0.0471      0.000280
    338      0.0231      1.5141      2.2937      5.3565      0.0228     0.1213      0.0467      0.000288
    339      0.0229      1.4873      2.2519      5.2772      0.0228     0.1204      0.0464      0.000297
    340      0.0226      1.4583      2.2127      5.1959      0.0227     0.1196      0.0460      0.000306
    341      0.0223      1.4323      2.1729      5.1196      0.0226     0.1188      0.0457      0.000316
    342      0.0221      1.4043      2.1339      5.0360      0.0226     0.1180      0.0453      0.000326
    343      0.0218      1.3791      2.0973      4.9553      0.0225     0.1172      0.0450      0.000336
    344      0.0215      1.3541      2.0590      4.8806      0.0225     0.1164      0.0447      0.000346
    345      0.0213      1.3316      2.0223      4.8054      0.0224     0.1156      0.0443      0.000357
    346      0.0210      1.3063      1.9882      4.7295      0.0224     0.1149      0.0440      0.000368
    347      0.0207      1.2818      1.9532      4.6560      0.0223     0.1141      0.0436      0.000379
